Numero;Pergunta;Alternativa_A;Alternativa_B;Alternativa_C;Alternativa_D;Alternativa_E;Gabarito
1;"não se encontra na cidade naquela data. Por isso, Maria e certo de seu amigo Antônio, Guilherme, valendo-se de Lúcia procura o advogado Paulo, o qual, após analisar a seus conhecimentos jurÃdicos, impetra habeas corpus em situação, conclui ser necessário postular, imediatamente, favor de César na Justiça Comum Estadual, em 1ª instância; medida de busca e apreensão do infante. habeas corpus em favor de Antônio, perante o Tribunal de Justiça, em 2ª instância; e mandado de segurança em favor Considerando o caso hipotético, assinale a afirmativa de João, na Justiça Federal, em 1ª instância. Considerando o que dispõe o Estatuto da OAB acerca";Paulo poderá aceitar procuração de Maria Lúcia e;Paulo poderá aceitar procuração de Maria Lúcia e de Antônio, nem mandado de segurança em favor de postular a busca e apreensão, apenas após o prévio João. conhecimento de Jeremias, não sendo suficiente (B) Guilherme pode impetrar habeas corpus em favor de informar à Sociedade de Advogados Y, sob pena de César e Antônio, mas não pode impetrar mandado de cometimento de infração ética. segurança em favor de João.;Paulo poderá aceitar procuração de Maria Lúcia e (C) Guilherme pode impetrar habeas corpus em favor de postular a busca e apreensão, apenas após o prévio César e Antônio, e também pode impetrar mandado conhecimento de Jeremias ou da Sociedade de de segurança em favor de João. Advogados Y, sob pena de cometimento de infração (D) Guilherme pode impetrar mandado de segurança em ética. favor de João, mas não pode impetrar habeas corpus;Paulo não poderá aceitar procuração de Maria Lúcia em favor de César e Antônio. e postular a busca e apreensão, mesmo que seja promovido o prévio conhecimento de Jeremias e Dentre as atividades consideradas privativas de advocacia está a de da Sociedade de Advogados Y, sem antes ocorrer a postulação judicial, consoante prevê o art. 1º, I, do EAOAB. Porém, renúncia ou revogação do mandato, sob pena de não se trata de regra absoluta a necessidade de advogado para toda e qualquer postulação em juÃzo, eis que nossa legislação excepciona cometimento de infração ética. diversas hipóteses, dentre elas, a impetração de habeas corpus em O art. 14 do CED prevê que o advogado não deve aceitar procuração qualquer instância ou tribunal (art. 1º, § 1º, do EAOAB). Assim, conforme de quem já tenha patrono constituÃdo, sem prévio conhecimento deste, relatado no enunciado, César e João, amigos de Guilherme, bacharel em;;A
2;renúncia ao patrocÃnio deve ser feita sem menção do brou contrato de mandato, há muitos anos, com o cliente Antônio para defendê-lo extrajudicialmente em certa questão. O instrumento não previu, de forma expressa, Conforme dispõe o abandono ou ao desamparo as causas sob seu patrocÃnio, sendo Considerando a hipótese descrita, assinale a afirmativa recomendável que, em face de dificuldades insuperáveis ou inércia do correta. cliente, que é o exato caso do enunciado, renuncie ao mandato. Não se trata de causa de extinção presumida do mandato, razão por que;Ausente previsão de prazo no instrumento, o con-;Ausente previsão de prazo no instrumento, o mandato extrajudicial é válido e não será extinto pelo decurso (;Ausente previsão de prazo no instrumento, o mandato eletrônicos. Encontrando-se vago um cargo de gerência extrajudicial é anulável e não será extinto pelo decurso jurÃdica, Juliana organizou processo seletivo, tendo rece- de qualquer prazo, mas a anulabilidade pode ser bido os currÃculos de três candidatas. pronunciada por decisão judicial, mediante alegação dos interessados. A primeira delas, Mariana, é advogada regularmente;Ausente previsão de prazo no instrumento, o mandato inscrita na OAB, tendo se especializado em Direito Penal. extrajudicial é válido e será extinto pelo decurso do A segunda, PatrÃcia, não é graduada em Direito, porém prazo de 20 anos, salvo renovação expressa. é economista e concluiu o doutorado em direito socie- tário e mercado de capitais. A terceira, Luana, graduada;;A
3;prática, sempre que pode, Kátia faz menção pública à sua cacia e a corretagem de imóveis. Todavia, é vedado o atuação pro bono, por entender que isto revela correição emprego da aludida placa, ainda que discreta, sóbria de caráter e gera boa publicidade de seus serviços como e meramente informativa. advogada, para obtenção de clientes em sua atuação (D) É permitido a Florentino exercer paralelamente a remunerada. advocacia e a corretagem de imóveis, inclusive em Considerando as informações acima, assinale a afirmativa favor dos mesmos clientes. Também é permitido correta. empregar a aludida placa, desde que seja discreta, sóbria e meramente informativa.;Kátia comete infração ética porque a advocacia pro bono não pode ser destinada a pessoas jurÃdicas, sob pena de caracterização de aviltamento de honorários.;"Kátia comete infração ética, ao divulgar sua atuação do Estatuto da OAB; pro bono como instrumento de publicidade para de que o cliente de um advogado também o seja no exercÃcio de sua";"Kátia comete infração ética porque a advocacia pro cliente para patrocinar ação judicial. O que é proibido é que Florentino bono não pode ser destinada a pessoas jurÃdicas, sob utilize sua outra profissão (corretor de imóveis) para captar ou angariar pena de caracterização de aviltamento de honorários. clientela. Também é proibida a divulgação da advocacia em conjunto Quanto à divulgação de seus serviços pro bono para com outras atividades (art. 1º, § 3º, do EAOAB e art. 40, IV, do CED); obtenção de clientela, inexiste vedação.";A situação narrada não revela infração ética. Inexistem mesma placa de identificação, faça menção ao exercÃcio da advocacia e;;A
4;advogado, e a impossibilidade de Paulo contatá-lo, seriam um MOTIVO na causa em que este último estava constituÃdo, mas PLENAMENTE JUSTIFICÁVEL (lembre-se: uma das exceções previstas aceitou procuração do cliente assim mesmo e tomou a no Havendo, portanto, uma expressão contida na alternativa “A” Poderia Paulo ter atuado na causa sem o conhecimento que contraria o texto do CED, e diante de todo o exposto no tocante à e a anuência de Álvaro? alternativa “B”, a questão mereceria ter sido anulada.;Paulo poderia ter atuado naquela causa apenas para tomar a medida urgente cabÃvel. (;desobriga-o do pagamento das verbas honorárias prévio e inequÃvoco conhecimento, diversamente do que ocorre com contratadas. o substabelecimento sem reserva de poderes, que, inclusive, é causa;desobriga-o do pagamento das verbas honorárias de extinção do mandato, motivo pelo qual o cliente deve ter prévio;"não o desobriga do pagamento das verbas honorárias não havendo exigência de que se dê ao cliente prévio e inequÃvoco sucumbenciais, mas o desobriga das verbas contratadas. conhecimento, o que se faz necessário apenas no substabelecimento sem reserva de poderes;";;A
5;"correta. Como já afirmado, os atos e contratos constitutivos de pessoas advogados trabalhando na causa, os quais não eram por jurÃdicas, para que sejam admitidos a registro no órgão competente, ele conhecidos, não apenas resolveu contratar outro deverão ter o visto (leia-se: a assinatura) do advogado, à exceção escritório para atuar em sua demanda como ofereceu das microempresas e empresas de pequeno porte, cuja legislação de representação disciplinar contra Márcio, afirmando que regência não exige o requisito em questão (visto do advogado) para o advogado não agira com lealdade e honestidade. A esse o registro de seus respectivos atos constitutivos; respeito, assinale a afirmativa correta. EAOAB nada fala a respeito da indicação de advogado que represente";A representação oferecida não deve ser enquadrada a sociedade que será constituÃda.;A representação oferecida não deve ser enquadrada do interesse da companhia. Ocorre que o controle da como infração disciplinar, pois o substabelecimento sociedade foi alienado para uma sociedade estrangeira, do mandato, com ou sem reserva de poderes, é ato que resolveu contratar novos profissionais em várias pessoal do advogado da causa. áreas, inclusive a jurÃdica. Por força dessa circunstância,;A representação oferecida deve ser enquadrada como rompeu-se a avença entre o advogado e o seu cliente. infração disciplinar, pois o substabelecimento do Assim, João renunciou ao mandato em todos os proces- mandato, com ou sem reserva de poderes, deve ser sos, comunicando formalmente o ato à cliente. Após a comunicado previamente ao cliente. renúncia, houve novo contrato com renomado escritório;A representação oferecida deve ser enquadrada como de advocacia, que, em todos os processos, apresentou o infração disciplinar, pois o advogado deve avisar pre- instrumento de mandato antes do término do prazo legal viamente ao cliente acerca de todas as petições que à retirada do advogado anterior. Na renúncia focalizada apresentará nos autos do processo, inclusive sobre as no enunciado, consoante o Estatuto da Advocacia, deve de juntada de substabelecimentos. o advogado CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 66 2277//0033//22002200 1111::3300::1155;;A
6;mandato, com ou sem reserva de poderes, deve ser sos, comunicando formalmente o ato à cliente. Após a comunicado previamente ao cliente. renúncia, houve novo contrato com renomado escritório (D) A representação oferecida deve ser enquadrada como de advocacia, que, em todos os processos, apresentou o infração disciplinar, pois o advogado deve avisar pre- instrumento de mandato antes do término do prazo legal viamente ao cliente acerca de todas as petições que à retirada do advogado anterior. Na renúncia focalizada apresentará nos autos do processo, inclusive sobre as no enunciado, consoante o Estatuto da Advocacia, deve de juntada de substabelecimentos. o advogado CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 66 2277//0033//22002200 1111::3300::1155;afastar-se imediatamente após a substituição por outro (;A advogada deve aceitar a indicação de um advogado;atuar em conjunto com o advogado sucessor por jurÃdico com numerosos advogados e um gerente. Por quinze dias. indicação deles, o cliente determina que Mara inclua, no mandato que lhe foi conferido, os advogados da empresa,;aguardar dez dias para verificar a atuação dos seus para atuação conjunta. Com base no caso apresentado, observadas as regras do Estatuto da OAB e do Código;;A
7;atividade, por ordem do advogado supervisor, o estagi- regra extremamente salutar, visto que são caracterÃsticas inerentes ário acompanha o cliente diretor da sociedade TamoaÃ à advocacia a isenção técnica e a independência profissional ( Assim, a advogada Mara não pode ser compelida pelo desentender com Matheus, e, por força desse evento, o cliente que lhe outorgou o mandato a atuar conjuntamente com outros escritório resolve renunciar ao mandato conferido pela advogados do departamento jurÃdico da empresa. pessoa jurÃdica.;O advogado pode afastar-se do processo em que atua substabelecer os poderes que lhe foram conferidos sem comunicação ao cliente. pelo seu cliente Eduardo, sem reserva de poderes, pois;ser comunicado ao cliente de modo inequÃvoco.;A renúncia aos poderes conferidos no mandato profissionais. dependerá do cliente do escritório.;A renúncia ao mandato, sem respeitar o prazo legal, (A) prescindir do conhecimento do cliente por ser ato implica abandono da causa. privativo.;;A
8;decisão foi mantida. Saulo comunicou o resultado à sua pela FGV foi aquela contida na alternativa “B”. No entanto, entendemos cliente que, tendo tomado ciência, manteve-se silente. haver impropriedade técnica cometida pela examinadora, visto que o Houve o trânsito em julgado da decisão. conceito de “efetivo exercÃcio da advocacia” não se resume à atuação anual mÃnima em “cinco causas”, mas, como afiançado pelo já citado Sob a perspectiva do Código de Ética e Disciplina da 1º Advocacia, assinale a afirmativa correta. do Estatuto”. A expressão “causa” corresponde a “postulação judicial”,;Após o trânsito em julgado, o mandato conferido ao que diz respeito a um dos atos privativos de advocacia (art. 1º, I, do advogado continua a ser cumprido. EAOAB). Não é correto afirmar que se considera efetivo exercÃcio da;O mandato conferido ao advogado não cessa mesmo advocacia apenas a atuação anual mÃnima em cinco causas distintas depois de concluÃda a causa. (leia-se: postulações judiciais em feitos distintos). Se, por exemplo, um advogado, em determinado ano, atuar em três causas (processos;"O resultado infrutÃfero da causa é considerado como judiciais) e elaborar dois pareceres (consultoria jurÃdica), terá exercido quebra do mandato. efetivamente a advocacia (3 postulações judiciais = art. 1º, I, EAOAB;";O final da causa presume o cumprimento do mandato 2 pareceres = art. 1º, II, EAOAB), visto que, somados, corresponderão conferido ao advogado. a cinco atos privativos de advocacia.;;A
9;decisão foi mantida. Saulo comunicou o resultado à sua pela FGV foi aquela contida na alternativa “B”. No entanto, entendemos cliente que, tendo tomado ciência, manteve-se silente. haver impropriedade técnica cometida pela examinadora, visto que o Houve o trânsito em julgado da decisão. conceito de “efetivo exercÃcio da advocacia” não se resume à atuação anual mÃnima em “cinco causas”, mas, como afiançado pelo já citado Sob a perspectiva do Código de Ética e Disciplina da 1º Advocacia, assinale a afirmativa correta. do Estatuto”. A expressão “causa” corresponde a “postulação judicial”,;Após o trânsito em julgado, o mandato conferido ao que diz respeito a um dos atos privativos de advocacia (art. 1º, I, do advogado continua a ser cumprido. EAOAB). Não é correto afirmar que se considera efetivo exercÃcio da;O mandato conferido ao advogado não cessa mesmo advocacia apenas a atuação anual mÃnima em cinco causas distintas depois de concluÃda a causa. (leia-se: postulações judiciais em feitos distintos). Se, por exemplo, um advogado, em determinado ano, atuar em três causas (processos;"O resultado infrutÃfero da causa é considerado como judiciais) e elaborar dois pareceres (consultoria jurÃdica), terá exercido quebra do mandato. efetivamente a advocacia (3 postulações judiciais = art. 1º, I, EAOAB;";O final da causa presume o cumprimento do mandato 2 pareceres = art. 1º, II, EAOAB), visto que, somados, corresponderão conferido ao advogado. a cinco atos privativos de advocacia.;;A
10;diretamente ao JuÃzo da causa, que deverá intimar a diante dos requisitos usualmente exigidos, comprovar sua efetiva atividade na advocacia. (D) O advogado não tem o dever de comunicar à parte a Diante desse contexto, de acordo com as normas do renúncia ao mandato judicial ou extrajudicial. Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.;"O efetivo exercÃcio da advocacia comprova-se pela vede ao advogado comunicar a renúncia ao mandato pessoalmente; B:";O efetivo exercÃcio da advocacia exige a atuação anual comunica-se o cliente, primeiramente (de preferência, repita-se, por mÃnima em cinco causas distintas, que devem ser carta com AR), e, a seguir, o juÃzo (obviamente por petição).;"A atividade efetiva da advocacia, como representante carta com AR, mas, em nenhum momento, veda outras formas (por judicial ou extrajudicial, cinge-se a dois atos por ano. exemplo, por telegrama, ou por notificação extrajudicial via cartório); C:";"O advogado deve comprovar, anualmente, a atuação incorreta. Como se vê no art. 6º do Regulamento Geral, a renúncia ao em atos privativos, mediante declaração do Juiz onde mandato impõe ao advogado que comunique diretamente seu cliente, atue, de três atos judiciais. e, a seguir, ao juÃzo; Regulamento Geral, que exige que o advogado comunique seu ato";;A
